X,Y
0.0,499.00132793908045
7.66007660076599,508.99989519894035
15.320153201532037,506.68163449216644
22.980229802298027,503.0173317093074
30.640306403064017,500.35933086062624
38.30038300383001,496.00481453238353
45.96045960459605,492.99921581757803
53.6205362053621,490.3857515840499
61.28061280612803,487.99496987647353
68.94068940689408,486.0003859670508
76.60076600766001,483.99520714569235
84.26084260842606,482.00100255189005
91.9209192091921,480.0789011650192
99.58099580995804,478.9996970233968
107.24107241072409,476.9954431509749
114.90114901149013,475.9998591491482
122.56122561225607,475.43893738121005
130.2213022130221,475.00020452983944
137.88137881378816,474.1111612540965
145.5414554145541,473.9986778168145
153.20153201532014,473.00011166605424
160.8616086160862,473.000126506661
168.52168521685212,472.0000923734122
176.18176181761817,471.9999619204814
183.8418384183842,472.00000901386863
191.50191501915015,472.0000462868028
199.1619916199162,471.9999618461921
206.82206822068224,471.9999456936664
214.48214482144817,472.0002633045354
222.14222142221422,471.99993942710915
229.80229802298027,470.9999623444242
237.4623746237462,471.0000185345742
245.12245122451225,470.99999395164156
252.7825278252783,470.9999909743606
260.4426044260442,470.9999995850543
268.1026810268103,471.00000883714944
275.7627576275763,471.00000778407275
283.42283422834225,470.9999854792512
291.0829108291083,471.00012171978756
298.74298742987435,471.0006810336916
306.4030640306403,471.00007035068586
314.0631406314063,471.0000605736862
321.7232172321724,471.00009368453755
329.3832938329383,470.9999397914156
337.04337043370424,471.0000099585691
344.7034470344704,471.00002098853946
352.36352363523633,470.99998815290667
360.02360023600227,470.9999913359377
367.6836768367684,471.00001753585616
375.34375343753436,471.0001349942314
383.0038300383003,471.9998120346516
390.66390663906645,472.00001974473713
398.3239832398324,472.00002752330704
405.9840598405983,471.99997848115913
413.64413644136437,471.9999890621384
421.3042130421304,472.0000199844135
428.96428964289635,471.9999756001447
436.6243662436624,472.00207304887124
444.28444284442844,472.00040847900846
451.9445194451944,472.9999887419873
459.6045960459604,473.00001276416674
467.26467264672647,472.99999852213784
474.9247492474924,472.9999816787039
482.58482584825845,473.0000009912586
490.2449024490245,473.0000311723808
497.9049790497904,472.9999828898339
505.5650556505565,473.00032324975024
513.2251322513225,474.00018691579913
520.8852088520885,473.9999136231677
528.5452854528545,474.0000446815297
536.2053620536205,474.0000095408212
543.8654386543865,474.0000699404809
551.5255152551526,474.99993379147634
559.1855918559186,475.000015204762
566.8456684566845,474.9999934471498
574.5057450574504,474.99996251677777
582.1658216582166,475.99996305486235
589.8258982589825,475.999950222551
597.4859748597487,476.00008112134407
605.1460514605146,476.99964053639303
612.8061280612806,476.999881939457
620.4662046620465,478.00003812128386
628.1262812628127,477.99991912063126
635.7863578635786,478.9999543255619
643.4464344643447,480.00005934263027
651.1065110651107,480.9991615195976
658.7665876658766,482.0000103200287
666.4266642666425,482.9986383812894
674.0867408674085,484.00012318088767
681.7468174681746,484.9978899316459
689.4068940689408,486.40483035471766
697.0669706697067,488.00017171901123
704.7270472704727,488.99273148892297
712.3871238712386,491.9969210799947
720.0472004720045,494.00033446779355
727.7072770727707,496.9997123889198
735.3673536735369,499.0055059197968
743.0274302743028,500.99170027408275
750.6875068750687,503.00040511182544
758.3475834758347,501.6556700409029
