Filename,radius,radius_measured,error,mean_radius,mean_err,std_dev
WIN_20230626_10_30_44_Pro.jpg,30,32.64183631,2.641836315,32.61683914,2.616839142,0.024573883
WIN_20230626_10_30_45_Pro (2).jpg,30,32.61466462,2.614664618,,,
WIN_20230626_10_30_45_Pro.jpg,30,32.64670811,2.646708109,,,
WIN_20230626_10_30_46_Pro (2).jpg,30,32.61266538,2.612665382,,,
WIN_20230626_10_30_46_Pro.jpg,30,32.59370564,2.593705636,,,
WIN_20230626_10_30_47_Pro (2).jpg,30,32.62996534,2.62996534,,,
WIN_20230626_10_30_47_Pro.jpg,30,32.63360545,2.633605454,,,
WIN_20230626_10_30_48_Pro.jpg,30,32.57690803,2.576908028,,,
WIN_20230626_10_30_49_Pro.jpg,30,32.57917636,2.579176358,,,
WIN_20230626_10_30_50_Pro.jpg,30,32.63915618,2.639156176,,,
