Filename,radius,radius_measured,error,radius_mean,mean_err,std_dev
WIN_20230626_10_36_11_Pro (2).jpg,110,86.48109458,23.51890542,86.50534005,23.49465995,1.035432489
WIN_20230626_10_36_11_Pro.jpg,110,88.03145232,21.96854768,,,
WIN_20230626_10_36_12_Pro (2).jpg,110,87.72835342,22.27164658,,,
WIN_20230626_10_36_12_Pro.jpg,110,85.48863901,24.51136099,,,
WIN_20230626_10_36_13_Pro (2).jpg,110,87.81556319,22.18443681,,,
WIN_20230626_10_36_13_Pro.jpg,110,85.01551356,24.98448644,,,
WIN_20230626_10_36_14_Pro (2).jpg,110,86.4493218,23.5506782,,,
WIN_20230626_10_36_14_Pro.jpg,110,85.12079776,24.87920224,,,
WIN_20230626_10_36_15_Pro.jpg,110,86.43035847,23.56964153,,,
WIN_20230626_10_36_16_Pro.jpg,110,86.49230637,23.50769363,,,
