Filename,radius,radius_measured,error,radius_mean,mean_err,std_dev
WIN_20230626_10_35_03_Pro.jpg,90,72.77049728,17.22950272,72.55297096,17.44702904,0.390484499
WIN_20230626_10_35_04_Pro.jpg,90,72.92585374,17.07414626,,,
WIN_20230626_10_35_05_Pro (2).jpg,90,73.23842816,16.76157184,,,
WIN_20230626_10_35_05_Pro.jpg,90,72.18498518,17.81501482,,,
WIN_20230626_10_35_06_Pro.jpg,90,72.4072555,17.5927445,,,
WIN_20230626_10_35_07_Pro (2).jpg,90,72.63151075,17.36848925,,,
WIN_20230626_10_35_07_Pro.jpg,90,71.76350904,18.23649096,,,
WIN_20230626_10_35_08_Pro (2).jpg,90,72.31115425,17.68884575,,,
WIN_20230626_10_35_08_Pro.jpg,90,72.70243785,17.29756215,,,
WIN_20230626_10_35_09_Pro.jpg,90,72.59407786,17.40592214,,,
