Colour,Radius,Iteration,Data Radius Mean,Data Radius Error,Data Radius Std Dev
yellow,110.0,1,51.1943241771328,-58.8056758228672,152.06471160713727
yellow,110.0,2,368.1844031126295,258.1844031126295,255.2727045264611
yellow,110.0,3,925.9322945048109,815.9322945048109,891.9529749276244
yellow,110.0,4,6905879610634.512,6905879610524.512,3831273200768.4937
yellow,110.0,5,92.00245511082039,-17.997544889179608,160.15584346555164
yellow,50.0,1,425.987628761932,375.987628761932,347.58680696126686
yellow,50.0,2,507.1674975173589,457.1674975173589,563.5332316973629
yellow,50.0,4,382.11664145452227,332.11664145452227,389.2919415165057
yellow,50.0,5,844.7352281774213,794.7352281774213,889.3823681744411
yellow,50.0,6,515.4958566219741,465.4958566219741,465.42428276260745
yellow,70.0,1,35.735251596354125,-34.264748403645875,62.81878806338464
yellow,70.0,2,99.52362255589091,29.52362255589091,115.08858422872997
yellow,70.0,3,108.65778532697668,38.65778532697668,166.33453599046152
yellow,70.0,4,177.06031078936587,107.06031078936587,228.91550373978896
yellow,70.0,5,310.3705748938949,240.3705748938949,474.9424319286872
yellow,90.0,1,286.4835259843612,196.48352598436122,272.1721085175215
yellow,90.0,2,194.64941052756492,104.64941052756492,274.142427763977
yellow,90.0,3,204.01220199609125,114.01220199609125,294.0762533821247
yellow,90.0,4,272.33081240970495,182.33081240970495,618.5430074886366
yellow,90.0,5,135.18862898568491,45.188628985684915,129.78525833659216
Colour,Radius,Iteration,Data Radius Mean,Data Radius Error,Data Radius Std Dev
yellow,110.0,1,51.1943241771328,-58.8056758228672,152.06471160713727
yellow,110.0,2,368.1844031126295,258.1844031126295,255.2727045264611
yellow,110.0,3,925.9322945048109,815.9322945048109,891.9529749276244
yellow,110.0,4,6905879610634.512,6905879610524.512,3831273200768.4937
yellow,110.0,5,92.00245511082039,-17.997544889179608,160.15584346555164
yellow,50.0,1,425.987628761932,375.987628761932,347.58680696126686
yellow,50.0,2,507.1674975173589,457.1674975173589,563.5332316973629
yellow,50.0,4,382.11664145452227,332.11664145452227,389.2919415165057
yellow,50.0,5,844.7352281774213,794.7352281774213,889.3823681744411
yellow,50.0,6,515.4958566219741,465.4958566219741,465.42428276260745
yellow,70.0,1,35.735251596354125,-34.264748403645875,62.81878806338464
yellow,70.0,2,99.52362255589091,29.52362255589091,115.08858422872997
yellow,70.0,3,108.65778532697668,38.65778532697668,166.33453599046152
yellow,70.0,4,173.70103593177575,103.70103593177575,224.5291669381506
yellow,70.0,5,310.3705748938949,240.3705748938949,474.9424319286872
yellow,90.0,1,286.4835259843612,196.48352598436122,272.1721085175215
yellow,90.0,2,194.64941052756492,104.64941052756492,274.142427763977
yellow,90.0,3,204.01220199609125,114.01220199609125,294.0762533821247
yellow,90.0,4,272.33081240970495,182.33081240970495,618.5430074886366
yellow,90.0,5,135.18862898568491,45.188628985684915,129.78525833659216
