Filename,radius,radius_measured,mean_radius,error,mean_err,std_dev
WIN_20230625_18_11_35_Pro.jpg,110,115.7030862,115.6148923,5.70308622,5.61489228,0.151998207
WIN_20230625_18_11_36_Pro (2).jpg,110,115.6567684,,5.65676845,,
WIN_20230625_18_11_36_Pro.jpg,110,115.9481773,,5.948177338,,
WIN_20230625_18_11_37_Pro.jpg,110,115.6422056,,5.642205602,,
WIN_20230625_18_11_38_Pro.jpg,110,115.3068366,,5.306836555,,
WIN_20230625_18_11_39_Pro (2).jpg,110,115.5752609,,5.575260942,,
WIN_20230625_18_11_39_Pro.jpg,110,115.7728387,,5.772838743,,
WIN_20230625_18_11_40_Pro.jpg,110,115.6158167,,5.615816653,,
WIN_20230625_18_11_41_Pro.jpg,110,115.7963154,,5.796315351,,
WIN_20230625_18_11_42_Pro (2).jpg,110,115.5383805,,5.53838052,,
WIN_20230625_18_11_42_Pro.jpg,110,115.5054512,,5.505451179,,
WIN_20230625_18_11_43_Pro.jpg,110,115.6535297,,5.653529683,,
WIN_20230625_18_11_44_Pro.jpg,110,115.6240232,,5.624023153,,
WIN_20230625_18_11_45_Pro.jpg,110,115.6087082,,5.608708243,,
WIN_20230625_18_11_46_Pro.jpg,110,115.7512693,,5.751269274,,
WIN_20230625_18_11_47_Pro.jpg,110,115.2776628,,5.27766282,,
WIN_20230625_18_11_48_Pro (2).jpg,110,115.571417,,5.571417037,,
WIN_20230625_18_11_48_Pro.jpg,110,115.484209,,5.484208978,,
WIN_20230625_18_11_49_Pro.jpg,110,115.5463624,,5.546362449,,
WIN_20230625_18_11_51_Pro.jpg,110,115.7195264,,5.719526412,,
