Filename,radius,radius_measured,mean_radius,error,mean_err,std_dev
WIN_20230625_18_11_09_Pro.jpg,90,89.49401324,89.39883126,0.505986756,0.601168743,0.092353948
WIN_20230625_18_11_10_Pro.jpg,90,89.54257212,,0.457427881,,
WIN_20230625_18_11_11_Pro (2).jpg,90,89.43088343,,0.569116571,,
WIN_20230625_18_11_11_Pro.jpg,90,89.29586222,,0.704137778,,
WIN_20230625_18_11_12_Pro.jpg,90,89.5091375,,0.490862495,,
WIN_20230625_18_11_13_Pro.jpg,90,89.34483243,,0.65516757,,
WIN_20230625_18_11_14_Pro (2).jpg,90,89.35775388,,0.642246116,,
WIN_20230625_18_11_14_Pro.jpg,90,89.43726502,,0.562734981,,
WIN_20230625_18_11_15_Pro.jpg,90,89.53735589,,0.462644107,,
WIN_20230625_18_11_16_Pro.jpg,90,89.29424732,,0.705752678,,
WIN_20230625_18_11_17_Pro (2).jpg,90,89.36045089,,0.639549108,,
WIN_20230625_18_11_17_Pro.jpg,90,89.42640288,,0.573597116,,
WIN_20230625_18_11_18_Pro.jpg,90,89.43440727,,0.565592729,,
WIN_20230625_18_11_19_Pro.jpg,90,89.14898603,,0.851013972,,
WIN_20230625_18_11_20_Pro (2).jpg,90,89.39246224,,0.607537756,,
WIN_20230625_18_11_20_Pro.jpg,90,89.41196973,,0.588030271,,
WIN_20230625_18_11_21_Pro.jpg,90,89.32664347,,0.673356533,,
WIN_20230625_18_11_22_Pro.jpg,90,89.41150908,,0.588490917,,
WIN_20230625_18_11_23_Pro.jpg,90,89.47741183,,0.522588167,,
WIN_20230625_18_11_24_Pro.jpg,90,89.34245864,,0.657541363,,
