Filename,radius,radius_measured,mean_radius,error,mean_err,std_dev
WIN_20230625_18_10_42_Pro (2).jpg,70,68.11904689,68.03372896,1.88095311,1.966271036,0.072101782
WIN_20230625_18_10_42_Pro.jpg,70,68.02759255,,1.972407452,,
WIN_20230625_18_10_43_Pro.jpg,70,67.90424863,,2.095751367,,
WIN_20230625_18_10_44_Pro (2).jpg,70,67.90590708,,2.094092915,,
WIN_20230625_18_10_44_Pro.jpg,70,68.09010928,,1.909890718,,
WIN_20230625_18_10_45_Pro.jpg,70,68.1089674,,1.891032603,,
WIN_20230625_18_10_46_Pro (2).jpg,70,68.00482033,,1.995179675,,
WIN_20230625_18_10_46_Pro.jpg,70,68.04821513,,1.951784867,,
WIN_20230625_18_10_47_Pro.jpg,70,68.11259099,,1.887409012,,
WIN_20230625_18_10_48_Pro (2).jpg,70,68.05667562,,1.943324375,,
WIN_20230625_18_10_48_Pro.jpg,70,68.0386861,,1.9613139,,
WIN_20230625_18_10_49_Pro.jpg,70,68.01653996,,1.983460042,,
WIN_20230625_18_10_50_Pro (2).jpg,70,68.0273478,,1.972652198,,
WIN_20230625_18_10_50_Pro.jpg,70,68.0494779,,1.950522103,,
WIN_20230625_18_10_51_Pro.jpg,70,68.05810979,,1.941890212,,
WIN_20230625_18_10_52_Pro (2).jpg,70,68.10176044,,1.898239556,,
WIN_20230625_18_10_52_Pro.jpg,70,67.9010236,,2.098976398,,
WIN_20230625_18_10_53_Pro.jpg,70,68.0131274,,1.986872597,,
WIN_20230625_18_10_54_Pro.jpg,70,68.15192247,,1.848077526,,
WIN_20230625_18_10_55_Pro.jpg,70,67.9384099,,2.0615901,,
