radius,radius_measured,mean_err,std_dev,fbgs_avg,fbgs_avg_err,fbgs_std_dev
30,28.4504128,1.549587203,0.015261574,30.73,0.73,0.37
50,48.59964179,1.400358209,0.036921888,51.36,1.36,1.02
70,68.03372896,1.966271036,0.072101782,71.21,1.21,0.82
90,89.39883126,0.601168743,0.092353948,92.27,2.27,1.67
110,115.6148923,5.61489228,0.151998207,111.59,1.59,4.18
