Filename,Radius
WIN_20230704_10_28_41_Pro.jpg,46.093021855204
WIN_20230704_10_28_42_Pro (2).jpg,46.057879755311376
WIN_20230704_10_28_42_Pro.jpg,46.09047267302547
WIN_20230704_10_28_43_Pro (2).jpg,46.16364397990202
WIN_20230704_10_28_43_Pro.jpg,46.12987414585482
WIN_20230704_10_28_44_Pro (2).jpg,46.08680266138523
WIN_20230704_10_28_44_Pro.jpg,46.10182465717151
WIN_20230704_10_28_45_Pro (2).jpg,46.06691934423261
WIN_20230704_10_28_45_Pro.jpg,46.102648950573894
WIN_20230704_10_28_46_Pro.jpg,46.16485419902937
