Filename,Radius
WIN_20230726_11_00_13_Pro.jpg,139.15069653322277
WIN_20230726_11_00_14_Pro.jpg,137.70481519442114
WIN_20230726_11_00_15_Pro (2).jpg,136.7581969156908
WIN_20230726_11_00_15_Pro.jpg,138.8818679872081
WIN_20230726_11_00_16_Pro (2).jpg,139.03796604237465
WIN_20230726_11_00_16_Pro (3).jpg,139.71050140461494
WIN_20230726_11_00_16_Pro.jpg,137.75334938597078
WIN_20230726_11_00_17_Pro (2).jpg,138.8575334890206
WIN_20230726_11_00_17_Pro.jpg,138.45095311482507
WIN_20230726_11_00_18_Pro.jpg,138.7166091336733
