Filename,Radius
WIN_20230726_10_56_31_Pro (2).jpg,140.45686475139027
WIN_20230726_10_56_31_Pro.jpg,140.50025859843691
WIN_20230726_10_56_32_Pro (2).jpg,140.46169979554065
WIN_20230726_10_56_32_Pro.jpg,140.522522680714
WIN_20230726_10_56_33_Pro (2).jpg,141.08712756805286
WIN_20230726_10_56_33_Pro.jpg,141.30727376519843
WIN_20230726_10_56_34_Pro (2).jpg,141.27603329711923
WIN_20230726_10_56_34_Pro.jpg,141.2540826714026
WIN_20230726_10_56_35_Pro (2).jpg,141.37571755623168
WIN_20230726_10_56_35_Pro.jpg,142.15813619174466
