Filename,radius,radius_measured,error,mean_radius,mean_err,std_dev,proximal_deviation,mid_deviation,distal_deviation
WIN_20230626_10_47_45_Pro.jpg,30,44.28150427,14.28150427,44.25034847,14.25034847,0.164646401,8,5,8
WIN_20230626_10_47_46_Pro (2).jpg,30,44.12280187,14.12280187,,,,,,
WIN_20230626_10_47_46_Pro.jpg,30,44.38093351,14.38093351,,,,,,
WIN_20230626_10_47_47_Pro.jpg,30,44.41204306,14.41204306,,,,,,
WIN_20230626_10_47_48_Pro.jpg,30,44.21495339,14.21495339,,,,,,
WIN_20230626_10_47_49_Pro (2).jpg,30,44.05385341,14.05385341,,,,,,
WIN_20230626_10_47_49_Pro.jpg,30,44.17805242,14.17805242,,,,,,
WIN_20230626_10_47_50_Pro.jpg,30,44.01308846,14.01308846,,,,,,
WIN_20230626_10_47_51_Pro.jpg,30,44.26570911,14.26570911,,,,,,
WIN_20230626_10_47_52_Pro.jpg,30,44.58054517,14.58054517,,,,,,
