Filename,radius,radius_measured,error,mean_radius,mean_err,std_dev,proximal_deviation,mid_deviation,distal_deviation
WIN_20230626_10_50_16_Pro (2).jpg,90,71.81928496,18.18071504,75.07968587,14.92031413,2.052258579,6,4,8
WIN_20230626_10_50_16_Pro.jpg,90,77.82294396,12.17705604,,,,,,
WIN_20230626_10_50_17_Pro (2).jpg,90,74.3331297,15.6668703,,,,,,
WIN_20230626_10_50_17_Pro.jpg,90,73.00939596,16.99060404,,,,,,
WIN_20230626_10_50_18_Pro (2).jpg,90,78.54919,11.45081,,,,,,
WIN_20230626_10_50_18_Pro.jpg,90,75.3039757,14.6960243,,,,,,
WIN_20230626_10_50_19_Pro.jpg,90,74.00147259,15.99852741,,,,,,
WIN_20230626_10_50_20_Pro (2).jpg,90,73.81606836,16.18393164,,,,,,
WIN_20230626_10_50_20_Pro.jpg,90,77.14477424,12.85522576,,,,,,
WIN_20230626_10_50_21_Pro.jpg,90,74.99662318,15.00337682,,,,,,
