RES,TS Score,AR Score
1,2,3
2,4,4
3,3,4
4,3,4
5,2,4
6,4,3
7,2,5
8,4,5
9,2,3
10,3,4
11,4,5
12,3,4
13,4,4
14,3,4
15,2,4
16,4,5
17,3,5
18,2,4
19,4,4
20,4,4
21,2,4
22,1,2
