RES,TS Score,AR Score
1,3,2
2,4,3
3,4,4
4,3,5
5,3,5
6,3,4
7,3,5
8,4,5
9,2,3
10,3,3
11,4,5
12,3,4
13,4,5
14,3,5
15,3,4
16,4,5
17,4,4
18,3,3
19,4,4
20,4,4
21,3,3
22,2,3
