Filename,radius,radius_measured,error,mean_radius,mean_err,std_dev
WIN_20230621_15_59_28_Pro (2).jpg,90,74.70526064,15.29473936,75.10322856,14.89677144,0.399200186
WIN_20230621_15_59_28_Pro.jpg,90,75.37521578,14.62478422,,,
WIN_20230621_15_59_29_Pro.jpg,90,74.72856104,15.27143896,,,
WIN_20230621_15_59_30_Pro (2).jpg,90,74.63358291,15.36641709,,,
WIN_20230621_15_59_30_Pro.jpg,90,75.6898656,14.3101344,,,
WIN_20230621_15_59_31_Pro (2).jpg,90,75.19805776,14.80194224,,,
WIN_20230621_15_59_31_Pro.jpg,90,75.67619414,14.32380586,,,
WIN_20230621_15_59_32_Pro.jpg,90,74.92068907,15.07931093,,,
WIN_20230621_15_59_33_Pro (2).jpg,90,75.42686398,14.57313602,,,
WIN_20230621_15_59_33_Pro.jpg,90,74.67799465,15.32200535,,,
