Filename,radius,radius_measured,error,mean_radius,mean_err,std_dev
WIN_20230621_15_57_06_Pro.jpg,50,51.84716162,1.847161617,51.82316555,1.823165547,0.051069802
WIN_20230621_15_57_07_Pro.jpg,50,51.80511388,1.80511388,,,
WIN_20230621_15_57_08_Pro (2).jpg,50,51.94046626,1.940466264,,,
WIN_20230621_15_57_08_Pro (3).jpg,50,51.8068554,1.8068554,,,
WIN_20230621_15_57_08_Pro.jpg,50,51.82617935,1.826179345,,,
WIN_20230621_15_57_09_Pro.jpg,50,51.81773414,1.817734139,,,
WIN_20230621_15_57_10_Pro (2).jpg,50,51.82213418,1.822134177,,,
WIN_20230621_15_57_10_Pro.jpg,50,51.72584544,1.725845443,,,
WIN_20230621_15_57_11_Pro (2).jpg,50,51.84858028,1.848580281,,,
WIN_20230621_15_57_11_Pro.jpg,50,51.79158493,1.791584928,,,
