Filename,Radius,radius,error,avg_radius,mean_err,std_dev
WIN_20230621_15_28_07_Pro.jpg,46.18535314,50,3.814646862,46.18535314,3.814646862,0
WIN_20230621_15_28_08_Pro.jpg,46.18535314,50,3.814646862,,,
WIN_20230621_15_28_09_Pro (2).jpg,46.18535314,50,3.814646862,,,
WIN_20230621_15_28_09_Pro.jpg,46.18535314,50,3.814646862,,,
WIN_20230621_15_28_10_Pro.jpg,46.18535314,50,3.814646862,,,
WIN_20230621_15_28_11_Pro.jpg,46.18535314,50,3.814646862,,,
WIN_20230621_15_28_12_Pro (2).jpg,46.18535314,50,3.814646862,,,
WIN_20230621_15_28_12_Pro.jpg,46.18535314,50,3.814646862,,,
WIN_20230621_15_28_13_Pro.jpg,46.18535314,50,3.814646862,,,
WIN_20230621_15_28_14_Pro.jpg,46.18535314,50,3.814646862,,,
