Filename,radius,radius_measured,error,mean_radius,mean_err,std_dev
WIN_20230621_16_00_53_Pro.jpg,110,92.75903293,17.24096707,92.10412777,17.89587223,0.322057718
WIN_20230621_16_00_54_Pro (2).jpg,110,92.09235488,17.90764512,,,
WIN_20230621_16_00_54_Pro.jpg,110,91.99741452,18.00258548,,,
WIN_20230621_16_00_55_Pro (2).jpg,110,91.91029012,18.08970988,,,
WIN_20230621_16_00_55_Pro.jpg,110,92.65300533,17.34699467,,,
WIN_20230621_16_00_56_Pro.jpg,110,91.75147915,18.24852085,,,
WIN_20230621_16_00_57_Pro (2).jpg,110,92.10373754,17.89626246,,,
WIN_20230621_16_00_57_Pro.jpg,110,91.81731709,18.18268291,,,
WIN_20230621_16_00_58_Pro (2).jpg,110,91.87915194,18.12084806,,,
WIN_20230621_16_00_58_Pro.jpg,110,92.0774942,17.9225058,,,
