Filename,Radius,radius,error,avg_radius,mean_err,std_dev
WIN_20230621_15_25_56_Pro.jpg,93.82618334,90,3.826183335,105.128558,15.12855805,6.943661247
WIN_20230621_15_25_57_Pro (2).jpg,107.4772788,90,17.47727881,,,
WIN_20230621_15_25_57_Pro.jpg,112.866507,90,22.86650699,,,
WIN_20230621_15_25_58_Pro.jpg,104.513343,90,14.51334301,,,
WIN_20230621_15_25_59_Pro (2).jpg,92.17366891,90,2.173668909,,,
WIN_20230621_15_25_59_Pro.jpg,112.866507,90,22.86650699,,,
WIN_20230621_15_26_00_Pro.jpg,104.513343,90,14.51334301,,,
WIN_20230621_15_26_01_Pro (2).jpg,104.513343,90,14.51334301,,,
WIN_20230621_15_26_01_Pro.jpg,105.6688994,90,15.66889943,,,
WIN_20230621_15_26_02_Pro.jpg,112.866507,90,22.86650699,,,
