Time (s),Force (g)
0,0
0.125,0
0.25,0
0.375,0
0.5,0
0.625,0
0.75,0
0.875,0
1,0
1.125,0
1.25,0
1.375,0
1.5,0
1.625,0
1.75,0
1.875,0
2,0
2.125,0
2.25,0
2.375,0
2.5,0
2.625,0
2.75,0
2.875,0
3,0
3.125,0
3.25,0
3.375,0
3.5,0
3.625,0
3.75,0
3.875,0
4,0
4.125,0
4.25,7.462173
4.375,32.336082
4.5,47.260427
4.625,67.159554
4.75,87.058681
4.875,87.058681
5,84.57129
5.125,79.596508
5.25,84.57129
5.375,77.109117
5.5,84.57129
5.625,77.109117
5.75,84.57129
5.875,84.57129
6,77.109117
6.125,77.109117
6.25,82.083899
6.375,92.033463
6.5,84.57129
6.625,79.596508
6.75,82.083899
6.875,82.083899
7,82.083899
7.125,77.109117
7.25,77.109117
7.375,82.083899
7.5,87.058681
7.625,82.083899
7.75,77.109117
7.875,79.596508
8,74.621727
8.125,87.058681
8.25,84.57129
8.375,131.831717
8.5,164.167798
8.625,164.167798
8.75,161.680408
8.875,126.856935
9,121.882153
9.125,129.344326
9.25,116.907372
9.375,141.78128
9.5,144.268671
9.625,151.730844
9.75,164.167798
9.875,164.167798
10,176.604753
10.125,171.629971
10.25,169.14258
10.375,164.167798
10.5,159.193017
10.625,159.193017
10.75,161.680408
10.875,161.680408
11,169.14258
11.125,164.167798
11.25,169.14258
11.375,166.655189
11.5,164.167798
11.625,166.655189
11.75,166.655189
11.875,169.14258
12,169.14258
12.125,159.193017
12.25,166.655189
12.375,169.14258
12.5,166.655189
12.625,164.167798
12.75,161.680408
12.875,161.680408
13,164.167798
13.125,164.167798
13.25,206.453443
13.375,243.764307
13.5,253.71387
13.625,268.638216
13.75,253.71387
13.875,228.839961
14,226.352571
14.125,206.453443
14.25,236.302134
14.375,246.251698
14.5,203.966053
14.625,241.276916
14.75,231.327352
14.875,241.276916
15,246.251698
15.125,248.739088
15.25,248.739088
15.375,253.71387
15.5,256.201261
15.625,251.226479
15.75,253.71387
15.875,261.176043
