Time (s),Force (g)
0,0
0.125,0
0.25,0
0.375,0
0.5,0
0.625,0
0.75,0
0.875,0
1,0
1.125,0
1.25,0
1.375,0
1.5,0
1.625,0
1.75,0
1.875,0
2,0
2.125,0
2.25,0
2.375,0
2.5,0
2.625,0
2.75,0
2.875,0
3,0
3.125,0
3.25,0
3.375,0
3.5,0
3.625,0
3.75,0
3.875,0
4,0
4.125,0
4.25,0
4.375,0
4.5,0
4.625,0
4.75,0
4.875,0
5,0
5.125,2.487391
5.25,9.949564
5.375,14.924345
5.5,14.924345
5.625,17.411736
5.75,17.411736
5.875,17.411736
6,17.411736
6.125,17.411736
6.25,19.899127
6.375,19.899127
6.5,19.899127
6.625,19.899127
6.75,19.899127
6.875,19.899127
7,19.899127
7.125,19.899127
7.25,19.899127
7.375,19.899127
7.5,19.899127
7.625,22.386518
7.75,22.386518
7.875,22.386518
8,19.899127
8.125,22.386518
8.25,22.386518
8.375,22.386518
8.5,22.386518
8.625,24.873909
8.75,32.336082
8.875,29.848691
9,32.336082
9.125,34.823472
9.25,32.336082
9.375,34.823472
9.5,32.336082
9.625,29.848691
9.75,34.823472
9.875,34.823472
10,34.823472
10.125,32.336082
10.25,34.823472
10.375,34.823472
10.5,34.823472
10.625,37.310863
10.75,37.310863
10.875,37.310863
11,37.310863
11.125,37.310863
11.25,37.310863
11.375,37.310863
11.5,37.310863
11.625,37.310863
11.75,37.310863
11.875,29.848691
12,37.310863
12.125,47.260427
12.25,47.260427
12.375,54.722599
12.5,49.747818
12.625,57.20999
12.75,59.697381
12.875,57.20999
13,57.20999
13.125,57.20999
13.25,57.20999
13.375,52.235209
13.5,54.722599
13.625,47.260427
13.75,49.747818
13.875,49.747818
14,47.260427
14.125,47.260427
14.25,47.260427
14.375,47.260427
14.5,44.773036
14.625,44.773036
14.75,42.285645
14.875,39.798254
15,42.285645
15.125,44.773036
15.25,44.773036
15.375,47.260427
15.5,42.285645
15.625,42.285645
15.75,47.260427
15.875,44.773036
16,42.285645
16.125,44.773036
16.25,42.285645
16.375,42.285645
16.5,39.798254
16.625,42.285645
16.75,42.285645
16.875,47.260427
17,47.260427
17.125,47.260427
17.25,44.773036
17.375,42.285645
17.5,39.798254
17.625,39.798254
17.75,39.798254
17.875,39.798254
18,39.798254
18.125,39.798254
18.25,37.310863
18.375,37.310863
18.5,37.310863
18.625,39.798254
18.75,39.798254
18.875,39.798254
19,42.285645
19.125,42.285645
19.25,42.285645
19.375,42.285645
19.5,44.773036
19.625,42.285645
19.75,44.773036
19.875,44.773036
20,44.773036
20.125,44.773036
20.25,44.773036
20.375,44.773036
20.5,44.773036
20.625,44.773036
20.75,44.773036
20.875,44.773036
21,42.285645
21.125,42.285645
21.25,42.285645
21.375,42.285645
21.5,42.285645
21.625,47.260427
21.75,57.20999
21.875,62.184772
22,62.184772
22.125,59.697381
22.25,57.20999
22.375,57.20999
22.5,57.20999
22.625,62.184772
22.75,59.697381
22.875,59.697381
23,57.20999
23.125,64.672163
23.25,64.672163
23.375,54.722599
23.5,54.722599
23.625,44.773036
23.75,52.235209
23.875,52.235209
24,52.235209
24.125,52.235209
24.25,57.20999
24.375,64.672163
24.5,72.134336
24.625,87.058681
24.75,87.058681
24.875,84.57129
25,101.983026
25.125,106.957808
25.25,72.134336
25.375,77.109117
25.5,72.134336
25.625,67.159554
25.75,62.184772
25.875,52.235209
26,52.235209
26.125,52.235209
26.25,52.235209
26.375,49.747818
26.5,52.235209
26.625,54.722599
26.75,57.20999
26.875,57.20999
27,59.697381
27.125,49.747818
27.25,37.310863
27.375,29.848691
27.5,22.386518
27.625,22.386518
27.75,19.899127
27.875,9.949564
28,7.462173
28.125,14.924345
28.25,12.436954
28.375,0
28.5,17.411736
28.625,7.462173
28.75,14.924345
28.875,9.949564
29,7.462173
29.125,0
29.25,0
29.375,0
29.5,0
29.625,0
29.75,0
29.875,0
30,0
30.125,0
30.25,0
30.375,0
30.5,0
30.625,0
30.75,0
30.875,0
31,0
31.125,0
31.25,0
31.375,0
31.5,0
31.625,0
31.75,0
31.875,0
