Time (s),Force (g)
0,0
0.125,0
0.25,0
0.375,0
0.5,0
0.625,0
0.75,0
0.875,0
1,0
1.125,0
1.25,0
1.375,0
1.5,0
1.625,0
1.75,0
1.875,0
2,0
2.125,0
2.25,0
2.375,0
2.5,0
2.625,0
2.75,0
2.875,0
3,0
3.125,0
3.25,0
3.375,0
3.5,0
3.625,0
3.75,0
3.875,0
4,0
4.125,0
4.25,0
4.375,2.487391
4.5,0
4.625,2.487391
4.75,4.974782
4.875,14.924345
5,14.924345
5.125,14.924345
5.25,14.924345
5.375,14.924345
5.5,14.924345
5.625,14.924345
5.75,14.924345
5.875,17.411736
6,17.411736
6.125,17.411736
6.25,17.411736
6.375,17.411736
6.5,17.411736
6.625,17.411736
6.75,17.411736
6.875,27.3613
7,24.873909
7.125,29.848691
7.25,37.310863
7.375,39.798254
7.5,42.285645
7.625,44.773036
7.75,42.285645
7.875,42.285645
8,42.285645
8.125,42.285645
8.25,39.798254
8.375,39.798254
8.5,37.310863
8.625,37.310863
8.75,37.310863
8.875,37.310863
9,37.310863
9.125,39.798254
9.25,39.798254
9.375,42.285645
9.5,39.798254
9.625,39.798254
9.75,39.798254
9.875,39.798254
10,39.798254
10.125,39.798254
10.25,39.798254
10.375,39.798254
10.5,39.798254
10.625,39.798254
10.75,42.285645
10.875,54.722599
11,62.184772
11.125,64.672163
11.25,64.672163
11.375,64.672163
11.5,64.672163
11.625,64.672163
11.75,64.672163
11.875,64.672163
12,62.184772
12.125,62.184772
12.25,62.184772
12.375,64.672163
12.5,64.672163
12.625,64.672163
12.75,64.672163
12.875,64.672163
13,64.672163
13.125,64.672163
13.25,64.672163
13.375,64.672163
13.5,64.672163
13.625,64.672163
13.75,64.672163
13.875,64.672163
